id,name,weight,status,sport,fantasy_positions,college,player_id,practice_description,rotowire_id,active,position,number,last_name,height,injury_status,injury_body_part,injury_notes,practice_participation,high_school,team,sportradar_id,yahoo_id,years_exp,fantasy_data_id,hashtag,search_last_name,first_name,birth_city,espn_id,birth_date,search_first_name,news_updated,gsis_id,birth_country,birth_state,search_full_name,depth_chart_position,rotoworld_id,depth_chart_order,injury_start_date,stats_id
1,GJ Kinne,234,Inactive,nfl,['QB'],Tulsa,1,,8833,False,QB,2,Kinne,"6'2""",,,,,,,a668bd7d-56e5-45ff-a2c8-d618cd1fef95,26154,1,18,#gjkinne-NFL-FA-2,kinne,GJ,,15299,1988-12-01,gj,,,,,gjkinne,,,,,399453
2,Jeremy Zuttah,300,Inactive,nfl,['OL'],Rutgers,2,,5809,False,C,64,Zuttah,"6'4""",,,,,Stevens (NJ),,fcaa51ea-0923-4afc-a7cf-22e47a14acf4,8860,12,127,#jeremyzuttah-NFL-FA-64,zuttah,Jeremy,,11317,1986-06-01,jeremy,,,,,jeremyzuttah,,4836,,,
3,David Harris,250,Inactive,nfl,['LB'],Michigan,3,,5342,False,LB,45,Harris,"6'2""",,,,,Ottawa Hills (MI),,c348bf8a-bc99-45fb-b1c8-04f487418d3c,8301,13,184,#davidharris-NFL-FA-45,harris,David,,10491,1984-01-21,david,1519421401244,,,,davidharris,,4197,,,215498
4,Roddy White,211,Inactive,nfl,['WR'],Alabama-Birmingham,4,,4350,False,WR,84,White,"6'0""",,,,,James Island (SC),,51e470b5-73ea-49b2-ae83-c26256a30812,7203,15,204,#roddywhite-NFL-FA-84,white,Roddy,,8442,1981-11-02,roddy,,,,,roddywhite,,3161,,,166675
5,Dallas Clark,252,Inactive,nfl,['TE'],Iowa,5,,,False,TE,87,Clark,"6'3""",,,,,,,,,11,244,#dallasclark-NFL-FA-87,clark,Dallas,,,1979-06-12,dallas,,,,,dallasclark,,,,,
6,Brandon Mebane,311,Active,nfl,['DL'],California,6,,5393,True,NT,92,Mebane,73,,,,,Crenshaw (CA),,1c5a8bd4-1b02-458e-943d-c391d3f0258e,8339,15,292,#brandonmebane-NFL-FA-92,mebane,Brandon,,10529,1985-01-15,brandon,1584127825462,00-0025472,,,brandonmebane,,4367,,,
7,Kurt Warner,214,Inactive,nfl,['QB'],Northern Iowa,7,,,False,QB,13,Warner,"6'2""",,,,,,,,,0,297,#kurtwarner-NFL-FA-13,warner,Kurt,,,1971-06-22,kurt,,,,,kurtwarner,,1256,,,
8,Jason Jones,275,Inactive,nfl,['DL'],Eastern Michigan,8,,5721,False,DE,73,Jones,"6'5""",,,,,Lathrup (MI),,06809e0e-1a00-4ff0-9f86-8a33d42fcd81,8831,12,322,#jasonjones-NFL-FA-73,jones,Jason,,11288,1986-05-23,jason,,,,,jasonjones,,4860,,,271592
9,Mike Scifres,215,Inactive,nfl,['P'],Western Illinois,9,,3210,False,P,5,Scifres,"6'2""",,,,,Destrehan (LA),,10cbd345-4c04-4f4a-96e0-b7f398c751d9,6485,17,383,#mikescifres-NFL-FA-5,scifres,Mike,,4607,1980-10-08,mike,,,,,mikescifres,,,,,
10,Stephen Tulloch,246,Inactive,nfl,['LB'],North Carolina State,10,,4748,False,LB,50,Tulloch,"5'11""",,,,,Killian (FL),,e4a19da6-a95d-47b1-a8ae-cbaad5777487,7865,14,384,#stephentulloch-NFL-FA-50,tulloch,Stephen,,9702,1985-01-01,stephen,,,,,stephentulloch,,3936,,,
11,Garrett Hartley,196,Inactive,nfl,['K'],Oklahoma,11,,,False,K,8,Hartley,"5'8""",,,,,,,83f8a30f-829f-4928-9816-7497ce6339c7,9222,7,418,#garretthartley-NFL-FA-8,hartley,Garrett,,11543,1986-05-16,garrett,,,,,garretthartley,,,,,
12,Ryan Kalil,300,Active,nfl,['OL'],USC,12,,5294,True,C,0,Kalil,74,,,,,Servite (CA),,d503e3cf-861d-4b06-8de8-f66b1b72a3bf,8313,15,423,#ryankalil-NFL-FA-0,kalil,Ryan,,10503,1985-03-29,ryan,1573965927234,00-0025446,,,ryankalil,,4189,,,
